filename	searchterm	freq
Juri_Parijogi_Teotahtelised_poisid.utf8	maa	0.001001335113484646
Juri_Parijogi_Teotahtelised_poisid.utf8	mets	0.002253004005340454
Juri_Parijogi_Teraspoiss.utf8	linn	0.0015295815295815296
Juri_Parijogi_Teraspoiss.utf8	maa	0.00101010101010101
Juri_Parijogi_Teraspoiss.utf8	mets	4.329004329004329e-4
Juri_Parijogi_Tsemendivabrik.utf8	linn	1.3257324671881213e-4
Juri_Parijogi_Tsemendivabrik.utf8	maa	0.0015245923372663396
Juri_Parijogi_Tsemendivabrik.utf8	mets	0.001193159220469309
Matthias_Johann_Eisen_Esiwanemate_warandus.utf8	linn	0.003097607592433929
Matthias_Johann_Eisen_Esiwanemate_warandus.utf8	maa	0.007315626441705661
Matthias_Johann_Eisen_Esiwanemate_warandus.utf8	mets	8.567850787583207e-4
Mihhail_Lermontov_Meie_aja_kangelane.utf8	linn	2.893582923409086e-4
Mihhail_Lermontov_Meie_aja_kangelane.utf8	maa	0.0013354998108041935
Mihhail_Lermontov_Meie_aja_kangelane.utf8	mets	8.23558216662586e-4
