kõike	1894	88
kõrvale	1889	87
mõtles	1885	78
kolm	1882	88
suure	1879	86
samas	1874	85
ühel	1863	87
pean	1837	83
istus	1831	80
väike	1817	86
küsib	1816	55
suutnud	1803	83
tulla	1796	88
taas	1796	83
virgo	1794	2
nägi	1790	82
parem	1775	87
vahele	1767	85
maa	1763	86
teeb	1760	91
tahtis	1753	84
elus	1742	89
nägu	1738	88
tead	1730	85
igal	1725	87
tunne	1722	89
käes	1721	87
annika	1719	5
kaua	1719	87
pidanud	1716	88
raske	1712	88
linna	1708	82
teadis	1708	81
millest	1707	88
kindel	1702	88
panna	1700	90
hakkab	1699	88
näiteks	1681	81
teised	1672	89
tia	1671	3
keda	1669	88
sõna	1665	85
laps	1663	85
viis	1660	86
kohale	1654	86
olemas	1651	87
õige	1641	88
kust	1613	87
sees	1609	88
tööd	1592	87
maret	1586	12
too	1580	81
olgu	1562	88
kahe	1561	89
andis	1557	84
tean	1552	84
saan	1544	87
ongi	1544	87
meelde	1543	86
temast	1536	87
saaks	1533	89
silma	1532	85
esimene	1531	89
tegema	1529	89
head	1525	91
keha	1525	83
seejärel	1516	80
käed	1516	85
said	1514	88
kedagi	1514	87
melchior	1502	2
tahab	1495	87
e	1486	44
teadnud	1479	85
püsti	1474	84
sellist	1473	86
maailma	1473	82
varsti	1465	84
astus	1465	77
anda	1464	86
rein	1464	17
uue	1459	84
järgi	1459	85
kooli	1457	73
üksi	1455	83
uus	1451	90
oligi	1449	85
käe	1449	83
teab	1447	87
korraga	1430	85
vaikselt	1419	86
sõnas	1419	58
hakkama	1415	88
vene	1412	64
käinud	1408	86
lugu	1406	85
anna	1401	83
samal	1400	85
noh	1397	79
asju	1396	87
jääda	1383	87
otse	1382	85
teiste	1373	87
olime	1364	80
kohal	1360	85
juhul	1355	84
ilus	1353	86
jooksul	1344	87
armastus	1343	74
hakanud	1342	86
järel	1339	87
võtnud	1339	81
asemel	1337	83
tahan	1333	82
vaadata	1333	88
tuppa	1322	84
suunas	1321	81
inimesi	1320	86
öelnud	1317	82
nimi	1312	87
jõudis	1312	85
auto	1311	73
umbes	1303	77
juttu	1302	82
olete	1298	83
pealt	1293	87
noogutas	1289	57
osanud	1285	85
mõlemad	1284	86
kodu	1282	84
kuulnud	1280	87
hakata	1275	85
meest	1273	86
i	1263	70
tulid	1256	81
mõttes	1252	81
seisis	1251	79
palun	1247	80
juhtus	1241	86
nägin	1239	78
mõtlesin	1239	79
pigem	1237	82
asjad	1235	87
leida	1234	88
teist	1227	87
siit	1224	85
pealegi	1222	81
tähendab	1211	85
alt	1211	86
mõte	1210	82
